repo_name,week,n_prs,mean_log_hours,mean_hours,merge_rate,is_treated_repo,treatment_date,event_time_weeks,post,treated,treated_x_post,event_quarter,eq_m8,eq_m7,eq_m6,eq_m5,eq_m4,eq_m3,eq_m2,eq_0,eq_1,eq_2,eq_3,eq_4,eq_5,eq_6,eq_7,eq_8
AUTOMATIC1111/stable-diffusion-webui,2023-04-17,20,4.45381591295159,296.45,0.0,True,2022-10-11,27.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-04-24,16,4.300525150483335,268.625,0.0,True,2022-10-11,28.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-05-01,19,3.8371928932041612,151.31578947368422,0.0,True,2022-10-11,29.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-05-08,35,1.957305072234925,90.31428571428572,0.0,True,2022-10-11,30.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-05-15,40,2.834517445096571,171.825,0.0,True,2022-10-11,31.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-05-22,30,3.924194453757662,264.23333333333335,0.0,True,2022-10-11,32.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-05-29,29,2.79965838404253,32.58620689655172,0.0,True,2022-10-11,33.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-06-05,17,2.798476880657336,90.23529411764706,0.0,True,2022-10-11,34.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-06-12,21,4.4922907284660205,519.5238095238095,0.0,True,2022-10-11,35.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AUTOMATIC1111/stable-diffusion-webui,2023-06-19,12,3.555888739865745,123.75,0.0,True,2022-10-11,36.0,1,1,1,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
